enqid,Contactid,ownerid,companyid,Enquiry No.,Job Status,industrycode,Industry,Office Country Code,Product,booked date,creation date,Flight date,Flight Year,Route code,Aircraft code,no of sectors,passengers,Total Flight Time (Dec),Total Distance (NMi),gross,Cost,Country,Round_trip
1,3871,38,2894,EN056656,Closed,COMPETITOR,Competitor company,IT,CJ - Adhoc,9/7/2015,5/31/2007,9/17/2015,2015,MXP/NCE/LGG/NCE/MXP,"B737-400,B737-800",4,189,3.41,847.9,4230.814787,67699.12243,Italy,1
1,3871,38,2894,EN056656,Closed,COMPETITOR,Competitor company,IT,CJ - Adhoc,9/7/2015,5/31/2007,9/30/2015,2015,LDE/EBU/FCO,"B737-400,B737-800",2,170,1.42,410.87,4230.814787,67699.12243,Italy,0
1,3871,38,2894,EN056656,Closed,COMPETITOR,Competitor company,IT,CJ - Adhoc,9/7/2015,5/31/2007,10/1/2015,2015,FCO/EBU,"B737-400,B737-800",1,168,1.42,410.87,4230.814787,67699.12243,Italy,0
2,5100,110,2482,EN158893,Closed,TOUR,Tour Operators,FR,CJ - Adhoc,3/1/2013,1/4/2013,2/16/2014,2014,CDG/USH/CDG,B777-2A+,1,364,1.33,450.96,38328.97753,503270.745,France,1
3,5123,35,2783,EN162421,Closed,CONF,"Conference, Incentive, etc",DE,CJ - Adhoc,1/24/2014,2/26/2013,5/9/2014,2014,FMO/STN/FMO,B737-700,2,148,2.34,550.88,846.888926,47759.11866,Germany,1
3,5123,35,2783,EN162421,Closed,TRAV,Travel Agents,DE,CJ - Adhoc,1/24/2014,2/26/2013,5/9/2014,2014,FMO/STN/FMO,B737-700,2,148,2.34,550.88,846.888926,47759.11866,Germany,1
4,4295,110,3906,EN163019,Invoiced,TRAV,Travel Agents,FR,Seat Sales,3/14/2013,3/8/2013,1/4/2014,2014,CDG/EZE SCL/CDG,,2,,,12288.34,1122.024258,35790.46424,France,1
5,5100,110,2482,EN164186,Invoiced,TOUR,Tour Operators,FR,Tour Ops,4/2/2013,4/2/2013,1/23/2014,2014,CDG/SSA/CDG,B777-3ER,2,442,19.17,8598.58,12373.96822,296795.6922,France,1
6,5100,110,2482,EN164189,Closed,TOUR,Tour Operators,FR,Tour Ops,4/2/2013,4/2/2013,3/13/2014,2014,CDG/SSA/CDG,B777-3ER,2,442,19.17,8598.58,13440.41017,300320.9337,France,1
7,5100,110,2482,EN164191,Invoiced,TOUR,Tour Operators,FR,Tour Ops,4/2/2013,4/2/2013,3/27/2014,2014,CDG/SSA/CDG,B777-3ER,2,442,19.17,8598.58,4366.875617,71928.07654,France,1
