Accountid,enqid,product,brokercountry,owner,qtq_firstflightdate,Grossprofit
764,1,CJ,Austria,MTRULL,2016-08-04 00:00:00,31220.163259
716,2,CJ,Austria,BEGGER,2016-05-26 00:00:00,-1815.786551
420,3,CJ,France,CBOUGE,2016-05-09 00:00:00,4055.692991
696,4,Tour Ops,United Kingdom,AMURR,2016-04-29 00:00:00,-14.455894
696,5,Tour Ops,United Kingdom,AMURR,2016-05-09 00:00:00,18440.24
696,6,Tour Ops,United Kingdom,AMURR,2016-06-11 00:00:00,18193.12
696,7,Tour Ops,United Kingdom,AMURR,2016-07-02 00:00:00,30843.16
696,8,Tour Ops,United Kingdom,AMURR,2016-08-06 00:00:00,12248.84
388,9,CJ,United Kingdom,DTUGWE,2016-02-12 00:00:00,2466.613429
486,10,Tour Ops,Austria,BEGGER,2016-04-25 00:00:00,2186.423869
548,11,Tour Ops,United Kingdom,AMURR,2016-02-06 00:00:00,11246.826936
548,12,Tour Ops,United Kingdom,AMURR,2016-03-05 00:00:00,11205.01717
548,13,Tour Ops,United Kingdom,AMURR,2016-04-02 00:00:00,6211.736597
388,14,CJ,United Kingdom,DTUGWE,2016-02-12 00:00:00,4247.158785
558,15,CJ,France,CBOUGE,2016-03-14 00:00:00,4365.073702
764,16,CJ,Austria,MGERNE,2016-07-30 00:00:00,27444.672943
764,17,CJ,Austria,MTRULL,2016-08-10 00:00:00,24286.796263
764,18,CJ,Austria,MGERNE,2016-08-16 00:00:00,22145.081208
594,19,CJ,Germany,IMUTLU,2016-03-19 00:00:00,4117.145074
601,20,CJ,Germany,PSPCGN,2016-03-18 00:00:00,4110.364625
589,21,Tour Ops,Germany,PSPCGN,2016-04-08 00:00:00,25303.803599
359,22,Tour Ops,Germany,PSPCGN,2016-09-02 00:00:00,10325.894234
594,23,CJ,Germany,IMUTLU,2016-04-06 00:00:00,6442.141758
57,24,CJ,Germany,CJUDIC,2016-03-24 00:00:00,8898.18464
653,25,CJ,United Kingdom,MHOLT,2016-04-27 00:00:00,96701.9721
506,26,CJ,USA,CMEYER,2016-07-24 00:00:00,2435.950475
685,27,Tour Ops,Austria,BEGGER,2016-05-13 00:00:00,1762.60704
594,28,CJ,Germany,IMUTLU,2016-04-14 00:00:00,2420.68357
430,29,Tour Ops,United Kingdom,NMOR,2016-02-13 00:00:00,25645.541003
430,30,Tour Ops,United Kingdom,NMOR,2016-02-13 00:00:00,1076.31
757,31,CJ,United Kingdom,CGRANT,2016-02-03 00:00:00,2079.246754
388,32,CJ,United Kingdom,DTUGWE,2016-02-12 00:00:00,3804.585097
384,33,CJ,Italy,EMEAZZ,2016-05-09 00:00:00,1126.236925
579,34,CJ,France,CBOUGE,2016-06-19 00:00:00,3115.075104
364,35,CJ,Austria,MTRULL,2016-09-03 00:00:00,7731.088483
19,36,Tour Ops,United Kingdom,AMURR,2016-08-02 00:00:00,11195.72777
19,37,Tour Ops,United Kingdom,AMURR,2016-05-17 00:00:00,8773.541294
19,38,Tour Ops,United Kingdom,AMURR,2016-06-07 00:00:00,13425.377899
19,39,Tour Ops,United Kingdom,AMURR,2016-07-05 00:00:00,12142.99908
19,40,Tour Ops,United Kingdom,AMURR,2016-09-06 00:00:00,546.448088
525,41,CJ,France,ALAUNA,2016-04-07 00:00:00,1540.647964
19,42,Tour Ops,United Kingdom,AMURR,2016-06-02 00:00:00,17063.615078
19,43,Tour Ops,United Kingdom,AMURR,2016-07-07 00:00:00,11675.580163
19,44,Tour Ops,United Kingdom,AMURR,2016-08-04 00:00:00,12480.87432
19,45,Tour Ops,United Kingdom,AMURR,2016-09-01 00:00:00,7172.15244
62,46,Tour Ops,Austria,BEGGER,2016-08-20 00:00:00,3973.323234
603,47,CJ,Germany,SGOEBE,2016-05-04 00:00:00,7552.331115
694,48,CJ,Austria,BEGGER,2016-05-05 00:00:00,3763.875674
446,49,Tour Ops,France,KRIGHI,2016-07-07 00:00:00,48000.61695
446,50,Tour Ops,France,KRIGHI,2016-07-25 00:00:00,68943.95318
446,51,Tour Ops,France,KRIGHI,2016-08-03 00:00:00,9998.459996
446,52,Tour Ops,France,KRIGHI,2016-08-15 00:00:00,5105.752858
446,53,Tour Ops,France,KRIGHI,2016-09-15 00:00:00,13719.741575
446,54,Tour Ops,France,KRIGHI,2016-09-24 00:00:00,76243.333907
446,55,Tour Ops,France,KRIGHI,2016-10-03 00:00:00,60100.947106
446,56,Tour Ops,France,KRIGHI,2016-10-12 00:00:00,66077.773046
446,57,Tour Ops,France,KRIGHI,2016-10-20 00:00:00,56711.544376
388,58,CJ,United Kingdom,DTUGWE,2016-02-12 00:00:00,1454.173215
572,59,CJ,Germany,SGOEBE,2016-05-05 00:00:00,6206.038018
556,60,CJ,Austria,BEGGER,2016-05-05 00:00:00,1189.343482
23,61,Tour Ops,Germany,PSPCGN,2016-05-30 00:00:00,8444.307011
678,62,CJ,Austria,MTRULL,2016-02-26 00:00:00,6360.141706
347,63,CJ,France,CBOUGE,2016-02-24 00:00:00,986.997815
364,64,CJ,Austria,MTRULL,2016-06-08 00:00:00,13782.613432
358,65,CJ,United Kingdom,WTAYLO,2016-02-13 00:00:00,1203.1
575,66,CJ,Germany,SDROBJ,2016-03-10 00:00:00,2897.075253
6,67,Tour Ops,United Kingdom,NMOR,2016-08-03 00:00:00,6583.051468
398,68,CJ,Germany,IMUTLU,2016-02-09 00:00:00,28219.306049
6,69,Tour Ops,United Kingdom,NMOR,2016-06-01 00:00:00,1428.419117
6,70,Tour Ops,United Kingdom,NMOR,2016-07-06 00:00:00,4860.924114
6,71,Tour Ops,United Kingdom,NMOR,2016-09-07 00:00:00,6717.999999
6,72,Tour Ops,United Kingdom,NMOR,2016-07-02 00:00:00,7690.622645
6,73,Tour Ops,United Kingdom,NMOR,2016-06-04 00:00:00,5713.676468
6,74,Tour Ops,United Kingdom,NMOR,2016-08-06 00:00:00,6301.426473
6,75,Tour Ops,United Kingdom,NMOR,2016-09-03 00:00:00,8109.374998
6,76,Tour Ops,United Kingdom,NMOR,2016-05-28 00:00:00,1428.419117
597,77,CJ,United Kingdom,NCOOPE,2016-07-22 00:00:00,8456.98132
398,78,CJ,Germany,SDROBJ,2016-02-14 00:00:00,3359.696992
435,79,CJ,Germany,SDROBJ,2016-02-08 00:00:00,5580.572601
435,80,CJ,Germany,SDROBJ,2016-02-01 00:00:00,14158.264869
764,81,CJ,Austria,MGERNE,2016-08-23 00:00:00,25237.734579
