HashEncode_0,HashEncode_1,HashEncode_2,HashEncode_3,HashEncode_4,HashEncode_5,HashEncode_6,HashEncode_7,companyid,Round_trip,ProfitMargin(%),Scaled_gross_log,Scaled_Distance_log,Scaled_FlightTime_log,Country_France,Country_Germany,Country_Italy,Country_Monaco,Country_Other,Country_Sweden,Country_Switzerland,Country_Turkey,Country_United Kingdom,Country_United States,Product_Tour Ops,passengersRange_1,passengersRange_2,passengersRange_3,categ_aircraft,categ_0,categ_1,categ_2,categ_3,categ_4,categ_5,Class
0,0,0,1,1,0,0,0,2894,1,2,0.6019617119958771,0.4388276430635607,0.4629216163152571,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4230.814786999998,0.0,0.0,0.0,0.0,0.0,0
0,0,0,1,1,0,0,0,2894,0,2,0.6019617119958771,0.3228503661680433,0.3077191829474783,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4230.814786999998,0.0,0.0,0.0,0.0,0.0,0
0,0,0,2,0,0,0,0,2894,0,2,0.6019617119958771,0.3228503661680433,0.3077191829474783,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4230.814786999998,0.0,0.0,0.0,0.0,0.0,0
0,0,0,2,0,0,0,0,2482,1,2,0.9571945595781208,0.3377543027488251,0.2961190789548919,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.0,0.0,0.0,38328.977530000004,0.0,0.0,0
0,0,0,0,1,0,1,0,2783,1,0,0.34267431741837895,0.36979288815486056,0.3962098097672551,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0.0,0.0,0.0,0.0,0.0,846.888926,2
1,0,0,0,1,0,0,0,2783,1,0,0.34267431741837895,0.36979288815486056,0.3962098097672551,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0.0,0.0,0.0,0.0,0.0,846.888926,2
0,0,0,1,1,0,0,0,2482,1,1,0.7749510950368662,0.8096723768771557,0.7688130400332513,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0.0,0.0,0.0,0.0,12373.96822,0.0,0
0,0,0,1,1,0,0,0,2482,1,1,0.7882768383919294,0.8096723768771557,0.7688130400332513,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0.0,0.0,0.0,0.0,13440.41017,0.0,0
0,0,0,1,1,0,0,0,2482,1,2,0.6070638971974942,0.8096723768771557,0.7688130400332513,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0.0,0.0,0.0,0.0,4366.8756170000015,0.0,0
0,0,0,1,1,0,0,0,2482,1,2,0.6103018195806078,0.8096723768771557,0.7688130400332513,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0.0,0.0,0.0,0.0,4455.482584,0.0,0
