Flight date,gross
2015-09-17,4358
2015-09-30,1880
2015-10-01,1665
2014-02-16,652
2014-02-16,1214
2014-05-09,5223
2014-05-09,7598
2014-01-04,69395
2014-01-23,25793
2014-01-23,32845
2014-03-13,28480
2014-03-13,27964
2014-03-27,12843
2014-03-27,29970
2014-04-10,22045
2014-04-10,48654
2014-02-17,1568
2014-02-26,650
2014-01-12,28564
2014-01-12,30362
2014-01-19,1552
2014-05-29,28005
2014-05-29,23721
2014-04-28,6411
2014-04-28,8400
2014-02-03,5919
2014-02-03,4586
2014-01-20,11001
2014-01-16,6799
2014-03-25,11452
2014-01-13,5310
2014-01-13,9177
2014-01-13,5022
2014-01-13,8787
2014-01-13,8344
2014-01-13,9939
2014-03-21,7947
2014-05-10,15873
2014-05-10,46075
2014-05-10,25381
2014-05-19,2991
2014-03-01,92923
2014-04-03,3139
2014-04-03,7974
2014-01-28,35179
2014-01-28,25552
2014-02-04,75577
2014-02-04,74947
2014-03-04,79295
2014-03-04,91308
2014-04-01,39275
2014-04-01,12821
2014-03-01,6516
2014-04-15,2036
2014-04-15,6557
2014-01-17,8770
2014-07-03,9968
2014-07-03,2022
2014-07-03,5687
2014-07-03,5153
2014-01-12,25994
2014-01-12,33383
2014-05-15,3321
2014-05-15,3090
2014-01-13,45228
2014-01-13,34555
2014-01-13,35248
2014-01-13,30684
2014-01-27,569
2014-01-27,1157
2014-02-08,1310
2014-02-08,1376
2014-03-07,1426
2014-03-07,1493
2014-01-27,4011
2014-01-27,9447
2014-01-27,4420
2014-01-27,2742
2014-01-27,2548
2014-01-27,8781
2014-01-27,7523
2014-01-27,7856
2014-03-31,8933
2014-01-05,44633
2014-01-05,12170
2014-01-12,22134
2014-01-12,33314
2014-01-19,34973
2014-01-19,25732
2014-01-26,39830
2014-01-26,41051
2014-01-04,45543
2014-01-04,45508
2014-01-11,17292
2014-01-11,23799
2014-01-18,49411
2014-01-18,49662
2014-01-25,23798
2014-01-25,46468
2014-05-01,1876
2014-05-01,1016
2014-02-25,5324
2014-02-25,7000
2014-02-25,9988
2014-02-20,4311
2014-02-20,2831
2014-02-20,6889
2014-02-24,6292
2014-02-24,4321
2014-02-24,5328
2014-02-20,18097
2014-02-20,34355
2014-02-20,49289
2014-02-21,39660
2014-02-21,20749
2014-06-11,2244
2014-01-05,8931
2014-01-12,7684
2014-01-19,7486
2014-01-26,5311
2014-02-02,6024
2014-02-09,2416
2014-02-16,2174
2014-02-23,9899
2014-03-02,8594
2014-03-09,8082
2014-03-16,5958
2014-03-23,3829
2014-03-30,8537
2014-04-06,6796
2014-04-13,7145
2014-01-04,5501
2014-01-05,7652
2014-01-05,8098
2014-01-11,2246
2014-01-12,6851
