Flight date,Accountid,enqid,product,brokercountry,owner,Grossprofit
2016-08-04 00:00:00,764,1,CJ,Austria,MTRULL,31220.163258999997
2016-05-26 00:00:00,716,2,CJ,Austria,BEGGER,-1815.7865510000001
2016-05-09 00:00:00,420,3,CJ,France,CBOUGE,4055.6929909999994
2016-04-29 00:00:00,696,4,Tour Ops,United Kingdom,AMURR,-14.455894
2016-05-09 00:00:00,696,5,Tour Ops,United Kingdom,AMURR,18440.24
2016-06-11 00:00:00,696,6,Tour Ops,United Kingdom,AMURR,18193.12
2016-07-02 00:00:00,696,7,Tour Ops,United Kingdom,AMURR,30843.16
2016-08-06 00:00:00,696,8,Tour Ops,United Kingdom,AMURR,12248.84
2016-02-12 00:00:00,388,9,CJ,United Kingdom,DTUGWE,2466.613429
2016-04-25 00:00:00,486,10,Tour Ops,Austria,BEGGER,2186.423869
2016-02-06 00:00:00,548,11,Tour Ops,United Kingdom,AMURR,11246.826936
2016-03-05 00:00:00,548,12,Tour Ops,United Kingdom,AMURR,11205.017170000001
2016-04-02 00:00:00,548,13,Tour Ops,United Kingdom,AMURR,6211.736597
2016-02-12 00:00:00,388,14,CJ,United Kingdom,DTUGWE,4247.1587850000005
2016-03-14 00:00:00,558,15,CJ,France,CBOUGE,4365.073702000001
2016-07-30 00:00:00,764,16,CJ,Austria,MGERNE,27444.672943
2016-08-10 00:00:00,764,17,CJ,Austria,MTRULL,24286.796263
2016-08-16 00:00:00,764,18,CJ,Austria,MGERNE,22145.081208
2016-03-19 00:00:00,594,19,CJ,Germany,IMUTLU,4117.145074
2016-03-18 00:00:00,601,20,CJ,Germany,PSPCGN,4110.364625
2016-04-08 00:00:00,589,21,Tour Ops,Germany,PSPCGN,25303.803599000003
2016-09-02 00:00:00,359,22,Tour Ops,Germany,PSPCGN,10325.894234000001
2016-04-06 00:00:00,594,23,CJ,Germany,IMUTLU,6442.141758
2016-03-24 00:00:00,57,24,CJ,Germany,CJUDIC,8898.184640000001
2016-04-27 00:00:00,653,25,CJ,United Kingdom,MHOLT,96701.9721
2016-07-24 00:00:00,506,26,CJ,USA,CMEYER,2435.950475
2016-05-13 00:00:00,685,27,Tour Ops,Austria,BEGGER,1762.6070399999999
2016-04-14 00:00:00,594,28,CJ,Germany,IMUTLU,2420.68357
2016-02-13 00:00:00,430,29,Tour Ops,United Kingdom,NMOR,25645.541003
2016-02-13 00:00:00,430,30,Tour Ops,United Kingdom,NMOR,1076.31
2016-02-03 00:00:00,757,31,CJ,United Kingdom,CGRANT,2079.246754
2016-02-12 00:00:00,388,32,CJ,United Kingdom,DTUGWE,3804.5850969999997
2016-05-09 00:00:00,384,33,CJ,Italy,EMEAZZ,1126.236925
2016-06-19 00:00:00,579,34,CJ,France,CBOUGE,3115.075104
2016-09-03 00:00:00,364,35,CJ,Austria,MTRULL,7731.0884829999995
2016-08-02 00:00:00,19,36,Tour Ops,United Kingdom,AMURR,11195.72777
2016-05-17 00:00:00,19,37,Tour Ops,United Kingdom,AMURR,8773.541294
2016-06-07 00:00:00,19,38,Tour Ops,United Kingdom,AMURR,13425.377899000001
2016-07-05 00:00:00,19,39,Tour Ops,United Kingdom,AMURR,12142.99908
2016-09-06 00:00:00,19,40,Tour Ops,United Kingdom,AMURR,546.448088
2016-04-07 00:00:00,525,41,CJ,France,ALAUNA,1540.647964
2016-06-02 00:00:00,19,42,Tour Ops,United Kingdom,AMURR,17063.615078
2016-07-07 00:00:00,19,43,Tour Ops,United Kingdom,AMURR,11675.580162999999
2016-08-04 00:00:00,19,44,Tour Ops,United Kingdom,AMURR,12480.87432
2016-09-01 00:00:00,19,45,Tour Ops,United Kingdom,AMURR,7172.152440000001
2016-08-20 00:00:00,62,46,Tour Ops,Austria,BEGGER,3973.3232340000004
2016-05-04 00:00:00,603,47,CJ,Germany,SGOEBE,7552.331115000001
2016-05-05 00:00:00,694,48,CJ,Austria,BEGGER,3763.8756740000003
2016-07-07 00:00:00,446,49,Tour Ops,France,KRIGHI,48000.61695
2016-07-25 00:00:00,446,50,Tour Ops,France,KRIGHI,68943.95318
2016-08-03 00:00:00,446,51,Tour Ops,France,KRIGHI,9998.459996
2016-08-15 00:00:00,446,52,Tour Ops,France,KRIGHI,5105.752858
2016-09-15 00:00:00,446,53,Tour Ops,France,KRIGHI,13719.741575
2016-09-24 00:00:00,446,54,Tour Ops,France,KRIGHI,76243.33390700001
2016-10-03 00:00:00,446,55,Tour Ops,France,KRIGHI,60100.94710599999
2016-10-12 00:00:00,446,56,Tour Ops,France,KRIGHI,66077.773046
2016-10-20 00:00:00,446,57,Tour Ops,France,KRIGHI,56711.544376
2016-02-12 00:00:00,388,58,CJ,United Kingdom,DTUGWE,1454.173215
2016-05-05 00:00:00,572,59,CJ,Germany,SGOEBE,6206.038018
2016-05-05 00:00:00,556,60,CJ,Austria,BEGGER,1189.343482
2016-05-30 00:00:00,23,61,Tour Ops,Germany,PSPCGN,8444.307011
2016-02-26 00:00:00,678,62,CJ,Austria,MTRULL,6360.141706
2016-02-24 00:00:00,347,63,CJ,France,CBOUGE,986.9978150000001
2016-06-08 00:00:00,364,64,CJ,Austria,MTRULL,13782.613432
2016-02-13 00:00:00,358,65,CJ,United Kingdom,WTAYLO,1203.1
2016-03-10 00:00:00,575,66,CJ,Germany,SDROBJ,2897.075253
2016-08-03 00:00:00,6,67,Tour Ops,United Kingdom,NMOR,6583.051468
2016-02-09 00:00:00,398,68,CJ,Germany,IMUTLU,28219.306049000003
2016-06-01 00:00:00,6,69,Tour Ops,United Kingdom,NMOR,1428.419117
2016-07-06 00:00:00,6,70,Tour Ops,United Kingdom,NMOR,4860.924114
2016-09-07 00:00:00,6,71,Tour Ops,United Kingdom,NMOR,6717.999999
2016-07-02 00:00:00,6,72,Tour Ops,United Kingdom,NMOR,7690.622645
2016-06-04 00:00:00,6,73,Tour Ops,United Kingdom,NMOR,5713.676468
2016-08-06 00:00:00,6,74,Tour Ops,United Kingdom,NMOR,6301.4264729999995
2016-09-03 00:00:00,6,75,Tour Ops,United Kingdom,NMOR,8109.374998
2016-05-28 00:00:00,6,76,Tour Ops,United Kingdom,NMOR,1428.419117
2016-07-22 00:00:00,597,77,CJ,United Kingdom,NCOOPE,8456.98132
2016-02-14 00:00:00,398,78,CJ,Germany,SDROBJ,3359.696992
2016-02-08 00:00:00,435,79,CJ,Germany,SDROBJ,5580.572601
2016-02-01 00:00:00,435,80,CJ,Germany,SDROBJ,14158.264869
2016-08-23 00:00:00,764,81,CJ,Austria,MGERNE,25237.734579
2016-08-22 00:00:00,764,82,CJ,Austria,MTRULL,26920.811244
2016-05-19 00:00:00,587,83,Tour Ops,Germany,PSPCGN,7210.386933
2016-09-19 00:00:00,391,84,Tour Ops,Germany,PSPCGN,9311.774773000001
2016-03-02 00:00:00,816,85,CJ,Germany,SDROBJ,969.7439880000001
2016-02-09 00:00:00,351,86,CJ,USA,SMOORE,28774.540407999997
2016-05-05 00:00:00,68,87,CJ,France,ALAUNA,2374.8255649999996
2016-06-07 00:00:00,577,88,CJ,Austria,BEGGER,812.755857
2016-04-25 00:00:00,343,89,CJ,United Kingdom,CGRANT,29459.892858
2016-05-26 00:00:00,658,90,CJ,Austria,MGERNE,6589.1294
2016-05-26 00:00:00,655,91,CJ,France,KRIGHI,3364.779575
2016-02-22 00:00:00,813,92,CJ,Germany,SDROBJ,14093.901262000001
2016-03-17 00:00:00,552,93,CJ,France,CBOUGE,3650.364625
2016-06-30 00:00:00,50,94,CJ,Austria,BEGGER,1574.983359
2016-02-09 00:00:00,823,95,CJ,United Kingdom,MHOLT,64378.48
2016-02-18 00:00:00,823,96,CJ,United Kingdom,MHOLT,52028.33
2016-03-01 00:00:00,823,97,CJ,United Kingdom,MHOLT,63829.99
2016-03-17 00:00:00,823,98,CJ,United Kingdom,MHOLT,51884.69
2016-03-22 00:00:00,823,99,CJ,United Kingdom,MHOLT,68987.25
2016-03-29 00:00:00,823,100,CJ,United Kingdom,MHOLT,63834.14
2016-06-02 00:00:00,664,101,CJ,France,DHOPFG,6502.560512
2016-05-10 00:00:00,652,102,CJ,Austria,BEGGER,2757.9686
2016-07-18 00:00:00,593,103,CJ,Germany,IMUTLU,0.0
2016-07-15 00:00:00,446,104,CJ,France,KRIGHI,25658.854705
2016-09-09 00:00:00,66,105,CJ,France,DHOPFG,427.86239900000004
2016-06-06 00:00:00,482,106,CJ,United Kingdom,CGRANT,5735.526666
2016-06-13 00:00:00,343,107,CJ,United Kingdom,CGRANT,33463.086898
2016-05-20 00:00:00,382,108,CJ,Austria,BEGGER,3657.104346
